channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossless,1.0,RPL_STANDARD,20260602,0,220.43
lossless,1.0,RPL_STANDARD,20260602,1,204.674
lossless,1.0,RPL_STANDARD,20260602,2,341.245
lossless,1.0,RPL_STANDARD,20260602,3,194.098
lossless,1.0,RPL_MQOS,20260602,0,220.43
lossless,1.0,RPL_MQOS,20260602,1,204.674
lossless,1.0,RPL_MQOS,20260602,2,341.245
lossless,1.0,RPL_MQOS,20260602,3,194.098
lossless,1.0,RPL_AER,20260602,0,220.43
lossless,1.0,RPL_AER,20260602,1,204.674
lossless,1.0,RPL_AER,20260602,2,341.245
lossless,1.0,RPL_AER,20260602,3,194.098
lossless,1.0,AER_MQOS,20260602,0,220.43
lossless,1.0,AER_MQOS,20260602,1,204.674
lossless,1.0,AER_MQOS,20260602,2,341.245
lossless,1.0,AER_MQOS,20260602,3,194.098
lossy,0.85,RPL_STANDARD,20260602,0,244.364
lossy,0.85,RPL_STANDARD,20260602,1,437.364
lossy,0.85,RPL_STANDARD,20260602,2,870.576
lossy,0.85,RPL_STANDARD,20260602,3,277.75
lossy,0.85,RPL_MQOS,20260602,0,244.364
lossy,0.85,RPL_MQOS,20260602,1,437.364
lossy,0.85,RPL_MQOS,20260602,2,870.576
lossy,0.85,RPL_MQOS,20260602,3,277.75
lossy,0.85,RPL_AER,20260602,0,244.364
lossy,0.85,RPL_AER,20260602,1,437.364
lossy,0.85,RPL_AER,20260602,2,870.576
lossy,0.85,RPL_AER,20260602,3,277.75
lossy,0.85,AER_MQOS,20260602,0,244.364
lossy,0.85,AER_MQOS,20260602,1,437.364
lossy,0.85,AER_MQOS,20260602,2,870.576
lossy,0.85,AER_MQOS,20260602,3,277.75
