channel,success_ratio,load_pct,learning_on,pdr_mean,protocol,seed
lossless,1.0,25,0,100.0,RPL_STANDARD,20260602
lossless,1.0,50,0,100.0,RPL_STANDARD,20260602
lossless,1.0,75,0,71.0262,RPL_STANDARD,20260602
lossless,1.0,100,0,47.6667,RPL_STANDARD,20260602
lossless,1.0,25,0,100.0,RPL_MQOS,20260602
lossless,1.0,50,0,100.0,RPL_MQOS,20260602
lossless,1.0,75,0,71.0262,RPL_MQOS,20260602
lossless,1.0,100,0,47.6667,RPL_MQOS,20260602
lossless,1.0,25,0,100.0,RPL_AER,20260602
lossless,1.0,50,0,100.0,RPL_AER,20260602
lossless,1.0,75,0,71.0262,RPL_AER,20260602
lossless,1.0,100,0,47.6667,RPL_AER,20260602
lossless,1.0,25,1,100.0,AER_MQOS,20260602
lossless,1.0,50,1,100.0,AER_MQOS,20260602
lossless,1.0,75,1,71.0262,AER_MQOS,20260602
lossless,1.0,100,1,47.6667,AER_MQOS,20260602
lossy,0.85,25,0,0.0,RPL_STANDARD,20260602
lossy,0.85,50,0,100.0,RPL_STANDARD,20260602
lossy,0.85,75,0,100.0,RPL_STANDARD,20260602
lossy,0.85,100,0,70.5357,RPL_STANDARD,20260602
lossy,0.85,25,0,0.0,RPL_MQOS,20260602
lossy,0.85,50,0,100.0,RPL_MQOS,20260602
lossy,0.85,75,0,100.0,RPL_MQOS,20260602
lossy,0.85,100,0,70.5357,RPL_MQOS,20260602
lossy,0.85,25,0,0.0,RPL_AER,20260602
lossy,0.85,50,0,100.0,RPL_AER,20260602
lossy,0.85,75,0,100.0,RPL_AER,20260602
lossy,0.85,100,0,70.5357,RPL_AER,20260602
lossy,0.85,25,1,0.0,AER_MQOS,20260602
lossy,0.85,50,1,100.0,AER_MQOS,20260602
lossy,0.85,75,1,100.0,AER_MQOS,20260602
lossy,0.85,100,1,70.5357,AER_MQOS,20260602
