channel,success_ratio,protocol,seed,time_min,ctx_update_cumulative,parent_switch_console
lossless,1.0,RPL_STANDARD,20260602,0.0416,0,0
lossless,1.0,RPL_STANDARD,20260602,0.1249,2,0
lossless,1.0,RPL_STANDARD,20260602,0.2081,30,0
lossless,1.0,RPL_STANDARD,20260602,0.2914,59,0
lossless,1.0,RPL_STANDARD,20260602,0.3746,114,0
lossless,1.0,RPL_STANDARD,20260602,0.4579,230,0
lossless,1.0,RPL_STANDARD,20260602,0.5412,352,0
lossless,1.0,RPL_STANDARD,20260602,0.6244,526,0
lossless,1.0,RPL_STANDARD,20260602,0.7077,730,0
lossless,1.0,RPL_STANDARD,20260602,0.7909,933,0
lossless,1.0,RPL_STANDARD,20260602,0.8742,1137,0
lossless,1.0,RPL_STANDARD,20260602,0.9574,1321,0
lossless,1.0,RPL_MQOS,20260602,0.0416,0,0
lossless,1.0,RPL_MQOS,20260602,0.1249,2,0
lossless,1.0,RPL_MQOS,20260602,0.2081,30,0
lossless,1.0,RPL_MQOS,20260602,0.2914,59,0
lossless,1.0,RPL_MQOS,20260602,0.3746,114,0
lossless,1.0,RPL_MQOS,20260602,0.4579,230,0
lossless,1.0,RPL_MQOS,20260602,0.5412,352,0
lossless,1.0,RPL_MQOS,20260602,0.6244,526,0
lossless,1.0,RPL_MQOS,20260602,0.7077,730,0
lossless,1.0,RPL_MQOS,20260602,0.7909,933,0
lossless,1.0,RPL_MQOS,20260602,0.8742,1137,0
lossless,1.0,RPL_MQOS,20260602,0.9574,1321,0
lossless,1.0,RPL_AER,20260602,0.0416,0,0
lossless,1.0,RPL_AER,20260602,0.1249,2,0
lossless,1.0,RPL_AER,20260602,0.2081,30,0
lossless,1.0,RPL_AER,20260602,0.2914,59,0
lossless,1.0,RPL_AER,20260602,0.3746,114,0
lossless,1.0,RPL_AER,20260602,0.4579,230,0
lossless,1.0,RPL_AER,20260602,0.5412,352,0
lossless,1.0,RPL_AER,20260602,0.6244,526,0
lossless,1.0,RPL_AER,20260602,0.7077,730,0
lossless,1.0,RPL_AER,20260602,0.7909,933,0
lossless,1.0,RPL_AER,20260602,0.8742,1137,0
lossless,1.0,RPL_AER,20260602,0.9574,1321,0
lossless,1.0,AER_MQOS,20260602,0.0416,0,0
lossless,1.0,AER_MQOS,20260602,0.1249,2,0
lossless,1.0,AER_MQOS,20260602,0.2081,30,0
lossless,1.0,AER_MQOS,20260602,0.2914,59,0
lossless,1.0,AER_MQOS,20260602,0.3746,114,0
lossless,1.0,AER_MQOS,20260602,0.4579,230,0
lossless,1.0,AER_MQOS,20260602,0.5412,352,0
lossless,1.0,AER_MQOS,20260602,0.6244,526,0
lossless,1.0,AER_MQOS,20260602,0.7077,730,0
lossless,1.0,AER_MQOS,20260602,0.7909,933,0
lossless,1.0,AER_MQOS,20260602,0.8742,1137,0
lossless,1.0,AER_MQOS,20260602,0.9574,1321,0
lossy,0.85,RPL_STANDARD,20260602,0.0416,0,0
lossy,0.85,RPL_STANDARD,20260602,0.1249,0,0
lossy,0.85,RPL_STANDARD,20260602,0.2081,0,0
lossy,0.85,RPL_STANDARD,20260602,0.2914,0,0
lossy,0.85,RPL_STANDARD,20260602,0.3746,0,0
lossy,0.85,RPL_STANDARD,20260602,0.4579,13,0
lossy,0.85,RPL_STANDARD,20260602,0.5412,41,0
lossy,0.85,RPL_STANDARD,20260602,0.6244,70,0
lossy,0.85,RPL_STANDARD,20260602,0.7077,105,0
lossy,0.85,RPL_STANDARD,20260602,0.7909,201,0
lossy,0.85,RPL_STANDARD,20260602,0.8742,323,0
lossy,0.85,RPL_STANDARD,20260602,0.9574,436,0
lossy,0.85,RPL_MQOS,20260602,0.0416,0,0
lossy,0.85,RPL_MQOS,20260602,0.1249,0,0
lossy,0.85,RPL_MQOS,20260602,0.2081,0,0
lossy,0.85,RPL_MQOS,20260602,0.2914,0,0
lossy,0.85,RPL_MQOS,20260602,0.3746,0,0
lossy,0.85,RPL_MQOS,20260602,0.4579,13,0
lossy,0.85,RPL_MQOS,20260602,0.5412,41,0
lossy,0.85,RPL_MQOS,20260602,0.6244,70,0
lossy,0.85,RPL_MQOS,20260602,0.7077,105,0
lossy,0.85,RPL_MQOS,20260602,0.7909,201,0
lossy,0.85,RPL_MQOS,20260602,0.8742,323,0
lossy,0.85,RPL_MQOS,20260602,0.9574,436,0
lossy,0.85,RPL_AER,20260602,0.0416,0,0
lossy,0.85,RPL_AER,20260602,0.1249,0,0
lossy,0.85,RPL_AER,20260602,0.2081,0,0
lossy,0.85,RPL_AER,20260602,0.2914,0,0
lossy,0.85,RPL_AER,20260602,0.3746,0,0
lossy,0.85,RPL_AER,20260602,0.4579,13,0
lossy,0.85,RPL_AER,20260602,0.5412,41,0
lossy,0.85,RPL_AER,20260602,0.6244,70,0
lossy,0.85,RPL_AER,20260602,0.7077,105,0
lossy,0.85,RPL_AER,20260602,0.7909,201,0
lossy,0.85,RPL_AER,20260602,0.8742,323,0
lossy,0.85,RPL_AER,20260602,0.9574,436,0
lossy,0.85,AER_MQOS,20260602,0.0416,0,0
lossy,0.85,AER_MQOS,20260602,0.1249,0,0
lossy,0.85,AER_MQOS,20260602,0.2081,0,0
lossy,0.85,AER_MQOS,20260602,0.2914,0,0
lossy,0.85,AER_MQOS,20260602,0.3746,0,0
lossy,0.85,AER_MQOS,20260602,0.4579,13,0
lossy,0.85,AER_MQOS,20260602,0.5412,41,0
lossy,0.85,AER_MQOS,20260602,0.6244,70,0
lossy,0.85,AER_MQOS,20260602,0.7077,105,0
lossy,0.85,AER_MQOS,20260602,0.7909,201,0
lossy,0.85,AER_MQOS,20260602,0.8742,323,0
lossy,0.85,AER_MQOS,20260602,0.9574,436,0
