protocol,seed,class,alpha_x100,beta_x100
RPL_STANDARD,20260512,0,10.985,89.015
RPL_STANDARD,20260512,1,20.763,79.237
RPL_STANDARD,20260512,2,30.726,69.274
RPL_STANDARD,20260512,3,35.586,64.414
RPL_MQOS,20260512,0,10.985,89.015
RPL_MQOS,20260512,1,20.763,79.237
RPL_MQOS,20260512,2,30.726,69.274
RPL_MQOS,20260512,3,35.586,64.414
RPL_AER,20260512,0,10.985,89.015
RPL_AER,20260512,1,20.763,79.237
RPL_AER,20260512,2,30.726,69.274
RPL_AER,20260512,3,35.586,64.414
AER_MQOS,20260512,0,10.985,89.015
AER_MQOS,20260512,1,20.763,79.237
AER_MQOS,20260512,2,30.726,69.274
AER_MQOS,20260512,3,35.586,64.414
