load_pct,learning_on,pdr_mean,protocol,seed
25,0,100.0,RPL_STANDARD,20260512
50,0,100.0,RPL_STANDARD,20260512
75,0,100.0,RPL_STANDARD,20260512
100,0,100.0,RPL_STANDARD,20260512
25,0,100.0,RPL_MQOS,20260512
50,0,100.0,RPL_MQOS,20260512
75,0,100.0,RPL_MQOS,20260512
100,0,100.0,RPL_MQOS,20260512
25,0,100.0,RPL_AER,20260512
50,0,100.0,RPL_AER,20260512
75,0,100.0,RPL_AER,20260512
100,0,100.0,RPL_AER,20260512
25,0,100.0,AER_MQOS,20260512
25,1,100.0,AER_MQOS,20260512
50,0,100.0,AER_MQOS,20260512
50,1,100.0,AER_MQOS,20260512
75,0,100.0,AER_MQOS,20260512
75,1,100.0,AER_MQOS,20260512
100,0,100.0,AER_MQOS,20260512
100,1,100.0,AER_MQOS,20260512
