channel,success_ratio,protocol,seed,pdr_mean,pdr_std,tx_total,rx_total,pdr_c0,pdr_c1,pdr_c2,pdr_c3
lossless,1.0,RPL_STANDARD,20260501,100.0,0.0,1124,1124,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260501,100.0,0.0,1124,1124,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260501,100.0,0.0,1124,1124,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260501,100.0,0.0,1124,1124,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260502,100.0,0.0,1271,1271,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260504,100.0,0.0,1269,1269,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260504,100.0,0.0,1269,1269,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260504,100.0,0.0,1269,1269,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260504,100.0,0.0,1268,1268,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260505,100.0,0.0,1202,1202,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260506,100.0,0.0,1368,1368,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260506,100.0,0.0,1368,1368,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260506,100.0,0.0,1368,1368,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260506,100.0,0.0,1368,1368,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260507,100.0,0.0,1095,1095,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260507,100.0,0.0,1095,1095,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260507,100.0,0.0,1095,1095,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260507,100.0,0.0,1095,1095,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossless,1.0,RPL_STANDARD,20260512,100.0,0.0,1325,1325,100.0,100.0,100.0,100.0
lossless,1.0,RPL_MQOS,20260512,100.0,0.0,1325,1325,100.0,100.0,100.0,100.0
lossless,1.0,RPL_AER,20260512,100.0,0.0,1325,1325,100.0,100.0,100.0,100.0
lossless,1.0,AER_MQOS,20260512,100.0,0.0,1325,1325,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260501,100.0906,0.0,1104,1105,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260501,100.0,0.0,1129,1129,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260501,100.0,0.0,1129,1129,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260501,100.0,0.0,1099,1099,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260502,100.0,0.0,1271,1271,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260502,100.0,0.0,1271,1271,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260502,100.0,0.0,1271,1271,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260502,99.9201,0.0,1251,1250,100.0,99.5984,100.0,100.0
lossy,0.85,RPL_STANDARD,20260503,99.8744,0.0,796,795,99.187,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260503,99.8748,0.0,799,798,99.187,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260503,99.8748,0.0,799,798,99.187,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260503,99.8752,0.0,801,800,99.187,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260504,100.0,0.0,1271,1271,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260504,99.9097,0.0,1108,1107,99.5283,100.0,99.6466,100.0
lossy,0.85,RPL_AER,20260504,100.0819,0.0,1221,1222,100.0,100.0,99.6815,100.0
lossy,0.85,AER_MQOS,20260504,100.0,0.0,1271,1271,99.5868,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260505,100.0,0.0,1205,1205,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260505,99.9106,0.0,1118,1117,100.0,100.0,99.6979,100.0
lossy,0.85,RPL_AER,20260505,100.0,0.0,1118,1118,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260505,99.8339,0.0,1204,1202,99.4595,99.6491,100.0,100.0
lossy,0.85,RPL_STANDARD,20260506,99.7765,0.0,1342,1339,99.5951,99.3266,100.0,100.0
lossy,0.85,RPL_MQOS,20260506,99.9263,0.0,1357,1356,100.0,100.0,99.7297,100.0
lossy,0.85,RPL_AER,20260506,100.0,0.0,1369,1369,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260506,100.0,0.0,1367,1367,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260507,100.0,0.0,1094,1094,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260507,100.0,0.0,1094,1094,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260507,100.0,0.0,1094,1094,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260507,100.0,0.0,1081,1081,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260508,100.1374,0.0,728,729,100.0,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossy,0.85,RPL_AER,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossy,0.85,AER_MQOS,20260508,100.0,0.0,728,728,100.0,100.0,100.0,100.0
lossy,0.85,RPL_STANDARD,20260512,99.9224,0.0,1288,1287,99.6283,100.0,100.0,100.0
lossy,0.85,RPL_MQOS,20260512,99.844,0.0,1282,1280,100.0,99.6324,99.723,100.0
lossy,0.85,RPL_AER,20260512,99.764,0.0,1271,1268,99.6241,100.0,99.7183,99.7283
lossy,0.85,AER_MQOS,20260512,99.9246,0.0,1326,1325,100.0,100.0,100.0,99.7403
