protocol,seed,time_min,parent_changes_cumulative,parent_switch_console
RPL_STANDARD,20260512,1.2402,85,0
RPL_STANDARD,20260512,3.7206,205,0
RPL_STANDARD,20260512,6.201,308,0
RPL_STANDARD,20260512,8.6815,428,0
RPL_STANDARD,20260512,11.1619,531,0
RPL_STANDARD,20260512,13.6423,651,0
RPL_STANDARD,20260512,16.1227,754,0
RPL_STANDARD,20260512,18.6031,874,0
RPL_STANDARD,20260512,21.0836,977,0
RPL_STANDARD,20260512,23.564,1097,0
RPL_STANDARD,20260512,26.0444,1200,0
RPL_STANDARD,20260512,28.5248,1325,0
RPL_MQOS,20260512,1.2402,85,0
RPL_MQOS,20260512,3.7206,205,0
RPL_MQOS,20260512,6.2009,308,0
RPL_MQOS,20260512,8.6813,428,0
RPL_MQOS,20260512,11.1617,531,0
RPL_MQOS,20260512,13.6421,651,0
RPL_MQOS,20260512,16.1224,754,0
RPL_MQOS,20260512,18.6028,874,0
RPL_MQOS,20260512,21.0832,977,0
RPL_MQOS,20260512,23.5636,1097,0
RPL_MQOS,20260512,26.0439,1200,0
RPL_MQOS,20260512,28.5243,1325,0
RPL_AER,20260512,1.2402,85,0
RPL_AER,20260512,3.7205,205,0
RPL_AER,20260512,6.2009,308,0
RPL_AER,20260512,8.6813,428,0
RPL_AER,20260512,11.1616,531,0
RPL_AER,20260512,13.642,651,0
RPL_AER,20260512,16.1224,754,0
RPL_AER,20260512,18.6027,874,0
RPL_AER,20260512,21.0831,977,0
RPL_AER,20260512,23.5635,1097,0
RPL_AER,20260512,26.0438,1200,0
RPL_AER,20260512,28.5242,1325,0
AER_MQOS,20260512,1.2402,85,0
AER_MQOS,20260512,3.7206,205,0
AER_MQOS,20260512,6.2009,308,0
AER_MQOS,20260512,8.6813,428,0
AER_MQOS,20260512,11.1617,531,0
AER_MQOS,20260512,13.6421,651,0
AER_MQOS,20260512,16.1224,754,0
AER_MQOS,20260512,18.6028,874,0
AER_MQOS,20260512,21.0832,977,0
AER_MQOS,20260512,23.5636,1097,0
AER_MQOS,20260512,26.0439,1200,0
AER_MQOS,20260512,28.5243,1325,0
